Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Computational Thinking in the Era of Data Science: Incorporating data thinking into computer science education.","Mike, Koby; Ragonis, Noa; Rosenberg-Kima, Rinat B.; Hazzan, Orit","Communications of the ACM",="00010782",,="Aug2022","65","8","33","3","158128813","10.1145/3545109","Association for Computing Machinery","Article","DATA science; COMPUTER science education; COMPUTER science research; COMPUTATIONAL mathematics; PHILOSOPHY & science; THOUGHT & thinking",,"The article explores how data thinking can can be incorporated into computer science education. Particular focus is given to data science, which the authors describe as a new research and applications field that is comprised of computer science, mathematics, statistics and real-world domain knowledge. The importance of understanding data and data thinking in the 21st century is also discussed.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=158128813&lang=es&site=ehost-live"
"From Critique to Computational Thinking: A Peer-Assessment-Supported Problem Identification, Flow Definition, Coding, and Testing Approach for Computer Programming Instruction.","Fang, Jian-Wen; Shao, Dan; Hwang, Gwo-Jen; Chang, Shao-Chen","Journal of Educational Computing Research",="07356331",,="Sep2022","60","5","1301","24","158668769","10.1177/07356331211060470","Sage Publications Inc.","Article","COMPUTER programming; PROGRAMMING languages; SYNTAX in programming languages; HIGH school curriculum; ACADEMIC achievement; BOOSTING algorithms","computational thinking; computer programming; online learning; peer assessment","Scholars believe that computational thinking is one of the essential competencies of the 21st century and computer programming courses have been recognized as a potential means of fostering students' computational thinking. In tradition instruction, PFCT (problem identification, flow definition, coding, and testing) is a commonly adopted procedure to guide students to learn and practice computer programming. However, without further guidance, students might focus on learning the syntax of computer programming language rather than the concept of solving problems. This study proposes a peer-assessment-supported PFCT (PA-PFCT) approach for boosting students' computer programming knowledge and computational thinking awareness. A quasi-experiment was conducted on a computer programming course in a high school to evaluate its influence on students' learning achievement, computational thinking awareness, learning motivation, and self-efficacy. An experimental group of 51 students learned with the proposed approach, while a control group of 49 students learned with the traditional PFCT (T-PFCT) approach. The experimental results show that the proposed approach significantly enhanced the students' computational thinking awareness, learning motivation, and self-efficacy, while not having significant impacts on their computer programming knowledge test scores. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=158668769&lang=es&site=ehost-live"
"Unleashing the Potential of Abstraction From Cloud of Computational Thinking: A Systematic Review of Literature.","Ezeamuzie, Ndudi O.; Leung, Jessica S.C.; Ting, Fridolin S.T.","Journal of Educational Computing Research",="07356331",,="Jul2022","60","4","877","29","157585933","10.1177/07356331211055379","Sage Publications Inc.","Article",,"abstraction; computational thinking; decomposition; generalisation; problem-solving","Although abstraction is widely understood to be one of the primary components of computational thinking, the roots of abstraction may be traced back to different fields. Hence, the meaning of abstraction in the context of computational thinking is often confounded, as researchers interpret abstraction through diverse lenses. To disentangle these conceptual threads and gain insight into the operationalisation of abstraction, a systematic review of 96 empirical studies was undertaken. Analysis revealed that identifying features of entities, extracting relevant features, discovering patterns, creating rules and assembling the parts together were the core actions of abstraction. With the primary aim of simplifying practical procedures, abstraction was operationalised as the sophistication of a program, the matching of patterns, the creation of alternative representations, the transfer of solutions, the measurement of a learner's activity and reading program codes. There is an obvious need for researchers to align the conceptual meanings they have established of abstraction with the practical facts of operationalisation. The need to empirically validate emerging models and the implications for future research are discussed. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=157585933&lang=es&site=ehost-live"
"Computational thinking in K-12 education. An insight through meta-analysis.","Merino-Armero, José Miguel; González-Calero, José Antonio; Cózar-Gutiérrez, Ramón","Journal of Research on Technology in Education",="15391523",,="Jul2022","54","3","410","28","158319969","10.1080/15391523.2020.1870250","Taylor & Francis Ltd","Article","PRE-tests & post-tests; EDUCATION research","Computational thinking; educational research; effectiveness; K-12; meta-analysis","The interest in computational thinking development at pre-university education stage is increasing. In this study, a meta-analysis was conducted to address two main objectives: (a) to analyze the effectiveness of empirical interventions in K-12 education for the development of Computational Thinking (CT); and (b) to identify and evaluate the variables that influences the effectiveness of the interventions. The analysis was especially focused on the intra-group effect sizes. Interventions show large effect size in the development of CT in the comparison between pre- and post-tests (g = 1.044). Among the different types of interventions, programming is the most efficient learning tool. [ABSTRACT FROM AUTHOR] Copyright of Journal of Research on Technology in Education is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=158319969&lang=es&site=ehost-live"
"A design-based pedagogical framework for developing computational thinking skills.","Gupta, Samrat; Tiwari, Amit Anand","Journal of Decision Systems",="12460125",,="Nov2022","31","4","433","18","157683390","10.1080/12460125.2021.1943880","Taylor & Francis Ltd","Article","DESIGN science; INFORMATION storage & retrieval systems; SOCIAL networks; SOCIAL problems; PROBLEM solving","community detection; Computational thinking; design science research; education; social networks","Despite of advances in computational methods for a variety of real-world problems, there is a lack of holistic educational approaches for developing Computational Thinking (CT) skills of students. The CT skills develop students' ability to design and implement solutions using information systems development process. This paper describes how a soft computing-based multi-faceted modelling approach for solving the interdisciplinary problem of community detection in social networks can be used for developing CT skills among students. We use Design Science Research (DSR) process to design the proposed educational framework. The proposed educational framework has been implemented using R programming environment. Evaluation and feedback of students who undertook a couple of sessions establish the viability of the proposed educational framework. [ABSTRACT FROM AUTHOR] Copyright of Journal of Decision Systems is the property of Taylor & Francis Ltd and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=157683390&lang=es&site=ehost-live"
"Exploring high school computer science course teachers' instructional design processes for improving students' ""computational thinking"" skills.","Dagli, Zerrin; Sancar Tokmak, Hatice","Journal of Research on Technology in Education",="15391523",,="Oct2022","54","4","511","24","159267585","10.1080/15391523.2021.1881844","Taylor & Francis Ltd","Article","SCIENCE teachers; INSTRUCTIONAL systems design; COMPUTER science; HIGH schools; HIGH school teachers","Computational thinking; high school teachers; instructional design; multiple case study","The importance of developing individuals' computational thinking (CT) skills has given rise to many practices and research and development initiatives. Although there is a considerable volume of research on improving students' CT skills, remarkably little is known about teachers' design work to improve students' CT skills. This multiple case study aimed to explore high school computer science teachers' instructional design (ID) process. Data were collected through interviews, lesson plans, and classroom observations from three K-12 cases. The results showed that teachers' ID processes had both similarities; including the design steps, the analysis step predominance, and the interaction intensity between the stages, and differences; included the number of interactions and the connections within the stages. Moreover, teachers' beliefs about teaching and learning CT affected ID process. [ABSTRACT FROM AUTHOR] Copyright of Journal of Research on Technology in Education is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=159267585&lang=es&site=ehost-live"
"Do We Really Need Computational Thinking?","Nardelli, Enrico","Communications of the ACM",="00010782",,="Feb2019","62","2","32","4","134383081","10.1145/3231587","Association for Computing Machinery","Article","COMPUTATIONAL intelligence; COMPUTER science; INFORMATION science; PROBLEM solving; SCIENCE education",,"The author presents his thoughts on the expression ""computational thinking"" (CT) and discusses why a consensus definition may not be necessary. Topics covered include informatics education, the role of computing in problem solving, and CT as a scientific subject.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=134383081&lang=es&site=ehost-live"
"Research on Product Innovation Intention Analysis System Model Based on Computational Thinking.","Zhang, Shuo; Zou, Hua; Qiao, Zhicheng; Sun, Jian; Xu, Yan","Mathematical Problems in Engineering",="1024123X",,="7/22/2022",,,"1","12","158120842","10.1155/2022/2543872","Hindawi Limited","Article","APRIORI algorithm; INTENTION; TECHNOLOGICAL innovations; PRODUCT failure; ECONOMIC demand; STATISTICAL correlation",,"The starting point of this study is to improve the realistic problem of high failure rate of product innovation and improve the success rate of product innovation. First, starting from the relationship between user demand and innovation, this study constructs a product innovation-demand screening system model from a macro perspective and describes the circular promotion relationship between demand and innovation. Second, apply computational thinking to further characterize the system model. From the point of view of mining frequent item sets, this paper constructs an analysis model of product innovation intention from a microscopic perspective and makes a correlation analysis of innovation and demand, providing technical support for the combination and screening of innovation and demand. The model runs in a Python environment. This study uses the Apriori algorithm to improve the efficiency of frequent set mining. This model has no specific restrictions on the selected users, the way to select demand data is broad, and the data are easy to obtain. The use of large amounts of data for analysis also reduces the bias of experts and leading users in evaluating and screening innovation intentions. The simulation of the operation and screening efficiency of the product innovation intention analysis model shows that (1) the model runs effectively. (2) The number of innovation intentions screened by the model can be regulated by adjusting only two variables: min_support and min_confidence. However, the number of strong association rules is more sensitive to the adjustment of min_support. (3) The innovation intention analysis model has significantly improved the efficiency of innovation intention screening. (4) Adjusting the innovation portfolio according to the analysis results of innovation intention can make new products more popular. [ABSTRACT FROM AUTHOR] Copyright of Mathematical Problems in Engineering is the property of Hindawi Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=158120842&lang=es&site=ehost-live"
"Remaining Trouble Spots with Computational Thinking: Addressing unresolved questions concerning computational thinking.","Denning, Peter J.","Communications of the ACM",="00010782",,="Jun2017","60","6","33","7","123446093","10.1145/2998438","Association for Computing Machinery","Article","COMPUTER science education; DESIGN education; STUDY & teaching of thought & thinking; ABILITY testing; WING, Jeannette",,"The article discusses issues related to the notion of computational thinking. Topics include the measurement of students' computational abilities, the role of U.S. National Science Foundation (NSF) official Jeannette Wing in promoting computational thinking in K-12 U.S. education, and the relation of computational thinking to design education.","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=123446093&lang=es&site=ehost-live"
"EPS: Metodología para resolución de enunciados en ciencias básicas apoyándose en pensamiento computacional.","TREJOS BURITICÁ, OMAR IVÁN","Revista EIA",="17941237",,="jul-dic2019","16","32","85","12","137635559","10.24050/reia.v16i32.1266","Escuela de Ingenieria de Antioquia","Article",,"Computational thinking; Exercises; Learning; Methodology; Problem situations; Solving problems; Aprendizaje; Ejercicios; Metodología; Pensamiento computacional; Problemas; Resolución de enunciados; Situaciones problema; exercícios de aprendizagem; Metodologia; pensamento computacional; situações problemáticas; Solução de declarações","The target of this article is to present a methodology for solving problems, such as those used in basic sciences, inherited from modern computational thinking and applicable to any area of knowledge. To achieve this, tests were conducted with different groups of students with which some quantitative and qualitative results were obtained that allowed some inferences to be made not only in terms of effectiveness but also in terms of the effect on learning of a parametric methodology such as IPO (input - process - output) that allows, simply to have elements of judgment to know where to start the process of solving a problem, how to proceed with this start and to arrive at a response that solves the problem statement. The results conclude that while the students have a parametric methodology to solve sentences, problems, situations and exercises, it will be much easier to solve problems and, in addition, they will be able to appropriate the computational thinking, so necessary in times in which new technologies we can find in all corners of society and their needs. (English) [ABSTRACT FROM AUTHOR] El presente artículo busca mostrar sistemáticamente una estrategia para resolver enunciados, como los que se plantean en las ciencias básicas, heredada del pensamiento computacional. Se realizaron pruebas con grupos de estudiantes con los cuales se obtuvieron resultados cuantitativos y cualitativos que permitieron realizar inferencias en cuanto a la efectividad así como al efecto en el aprendizaje de la estrategia EPS (Entrada - Proceso - Salida) que permite tener elementos de juicio para saber por dónde iniciar la resolución de un problema, para saber cómo proceder y para llegar a una respuesta que resuelva el enunciado. Los resultados permiten concluir que si los estudiantes tienen una estrategia para resolver enunciados, problemas y ejercicios, les será más fácil solucionarlos y, además, podrá ir apropiando el pensamiento computacional, tan necesario en estos tiempos. (Spanish) [ABSTRACT FROM AUTHOR] Este artigo apresenta sistematicamente uma estratégia para a resolução de declarações, tais como os decorrentes nas ciências básicas, herdada do pensamento computacional. que permite evidência para grupos de estudantes teste com o qual os resultados quantitativos e qualitativos que permitiram inferências quanto à eficácia e os efeitos sobre a aprendizagem da estratégia EPS (- - entrada do processo de saída) foram realizados saber por onde começar a resolver um problema, para saber como proceder e para chegar a uma resposta que resolve o comunicado. Os resultados mostram que se os estudantes têm uma estratégia para a resolução de declarações, problemas e exercícios, será mais fácil de corrigir e também pode ir apropriando pensamento computacional, tão necessária nestes tempos. (Portuguese) [ABSTRACT FROM AUTHOR] Copyright of Revista EIA is the property of Escuela de Ingenieria de Antioquia and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=137635559&lang=es&site=ehost-live"
"A Novel Three-Way Decision Model for Improving Computational Thinking Based on Grey Correlation Analysis.","Xu, Ruiyang; Jiang, Chunmao; Sun, Lijuan","Scientific Programming",="10589244",,="1/25/2022",,,"1","15","154897560","10.1155/2022/3575457","Hindawi Limited","Article","STATISTICAL correlation; WEIGHING instruments; LOW-income students; CURRICULUM evaluation; HUMAN behavior",,"Computational thinking (CT) is an approach that applies the fundamental concepts of computer science to solve problems, design systems, and understand human behavior, which can help students develop lifetime learning and generate new topics. It has been the elements of competency expected of the next generation of talents. However, the current research on computational thinking evaluation is still at a relatively weak stage. The existing related evaluation research is still limited to traditional curriculum evaluation methods. Therefore, the training effect of computational thinking cannot be well quantified, and the characteristics of students cannot be further explored. In this work, we propose a three-way decision model for improving computation thinking. We first developed a system of evaluation metrics, including five specific primary indicators and several secondary indicators. Next, the weight of each indicator was determined by applying an expert similarity measure, consequently getting the best metric sequence. We employ a grey correlation analysis to calculate the distance of each test result from this optimal sequence. Then, we trisect the set of testers based on the distance to build three regions of high score sequences, medium score sequences, and low score sequences inspired by the three-way decision. We can then exploit these rules on target students in the relatively low regions to improve their computational thinking. An example analysis illustrates the effectiveness and applicability of the method. This article provides a solid theoretical basis for improving students' computational thinking ability. Teaching administrators can conveniently formulate computational thinking teaching strategies, and timely warning and intervention for students with poor computational thinking ability can effectively improve students' computational thinking ability. The corresponding training measures are given to students of different ability levels to achieve differentiated and personalized training. [ABSTRACT FROM AUTHOR] Copyright of Scientific Programming is the property of Hindawi Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=154897560&lang=es&site=ehost-live"
"Family Education Optimization from the Perspective of Complex Discrete Computational Thinking.","Gao, Wentian; Chen, Guangwei","Mathematical Problems in Engineering",="1024123X",,="3/2/2022",,,"1","12","155525553","10.1155/2022/6808562","Hindawi Limited","Article","FAMILY relations; INTERPERSONAL relations; FAMILY communication; COGNITIVE development",,"Family education relationship is a general term for all the relationships that occur around family education activities. The establishment of family education relationship plays an important role in the activity process and effect of family education and will have a profound impact on children's physical and mental development. The study of family education relationship is an important issue that cannot be ignored in the study of family education theory. In order to enhance the effectiveness of family education, it is an objective requirement of theory and practice to rationally analyze and optimize the contemporary family education relationship from the perspective of communication theory. The introduction of communication theory into the field of family education will help to change the actual situation of lack of communication and barrier in contemporary family education relationship and also provide a new idea and perspective for the research and solution of other related problems in family education. Starting from the research and discussion of the basic theory of the relationship between communication and family education, this paper analyzes the concept and characteristics of family education relationship in detail, analyzes and examines the family education relationship in history, and establishes a basic understanding of family education relationship. On the basis of the research of the relevant basic theories, the paper explores and analyzes the current situation and reasons of the lack of communication and the blocking of the contemporary family education relationship. From the perspective of communication, it investigates the contemporary family-educational relationship, clarifies that the basic structure of the family-educational relationship is the unity of the internal interpersonal organizational relationship structure, the psychological relationship structure, and the activity process structure, and examines the current situation of the basic structure one by one. This paper proposes that, with the development of the times and society, the contemporary family education relationship has a huge development compared with the historical family education relationship, reflecting the characteristics of the times such as democracy, but there is still a lack of communication and barriers. Then it analyzes the various concrete manifestations of the lack of communication and the blocking situation in the contemporary family education relationship and its adverse consequences to family education. This paper verifies the influence of computational thinking on the optimization mechanism of family education and demonstrates the feasibility and effectiveness of computational thinking in family education. This optimizes the family education mechanism from the perspective of computational thinking and provides a research case with reference value for follow-up research. [ABSTRACT FROM AUTHOR] Copyright of Mathematical Problems in Engineering is the property of Hindawi Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=155525553&lang=es&site=ehost-live"
"Teachers' Ontological Perspectives of Computational Thinking and Assessment: A Text Mining Approach.","Lai, Rina P.Y.","Journal of Educational Computing Research",="07356331",,="Jun2022","60","3","661","35","156781083","10.1177/07356331211043547","Sage Publications Inc.","Article","TEXT mining; KNOWLEDGE representation (Information theory); HIERARCHICAL clustering (Cluster analysis); TEACHERS; CLUSTER analysis (Statistics); INTERNET surveys","computational thinking; computational thinking assessment; ontology; teachers' perspectives; text mining","As a dynamic and multifaceted construct, computational thinking (CT) has proven to be challenging to conceptualize and assess, which impedes the development of a workable ontology framework. To address this issue, the current article describes a novel approach towards understanding the ontological aspects of CT by using text mining and graph-theoretic techniques to elucidate teachers' perspectives collected in an online survey (N = 105). In particular, a hierarchical cluster analysis, a knowledge representation method, was applied to identify sub-groups in CT conceptualization and assessment amongst teachers. Five clusters in conceptualization and two clusters in assessment were identified; several relevant and distinct themes were also extracted. The results suggested that teachers attributed CT as a competence domain, relevant in the problem- solving context, as well as applicable and transferrable to various disciplines. The results also shed light on the importance of using multiple approaches to assess the diversity of CT. Overall, the findings collectively contributed to a comprehensive and multi-perspective representation of CT that refine both theory and practice. The methodology employed in this article has suggested a minor but significant step towards addressing the quintessential questions of ""what is CT?"" and ""how is it evidenced?"". [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=156781083&lang=es&site=ehost-live"
"Toward a 5E-Based Flipped Classroom Model for Teaching Computational Thinking in Elementary School: Effects on Student Computational Thinking and Problem-Solving Performance.","Gao, Xuemin; Hew, Khe Foon","Journal of Educational Computing Research",="07356331",,="Apr2022","60","2","512","32","156187582","10.1177/07356331211037757","Sage Publications Inc.","Article","SCHOOL children; STUDENT attitudes; ACTIVE learning; FLIPPED classrooms; PROBLEM solving; CONCEPT learning","5E instructional framework; computational thinking; elementary education; flipped classroom","Computational thinking (CT) has attracted significant interest among many educators around the globe. Despite this growing interest, research on CT and programming education in elementary school remains at an initial stage. Many relevant studies have adopted only one type of method to assess students' CT, which may lead to an incomplete view of student development on CT, while other studies employed small sample sizes, which may increase the chance of assuming a false premise to be true. Moreover, conventional programming courses typically have two limitations (e.g., limited student active learning and student low engagement). Given these gaps, this study investigates the effects of a theory-based (5E framework) flipped classroom model (FCM) on elementary school students' understanding of CT concepts, computational problem-solving performance, and perceptions of flipped learning. To achieve this, a pretest-posttest quasi-experimental study was conducted in a rural elementary school, including 125 students in the experimental group and 122 students in the control group. The results showed that the 5E-based FCM significantly improved student understanding of CT concepts and computational problem-solving abilities. The results also revealed positive student perception toward the FCM. The benefits and challenges of the 5E-based FCM are discussed. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=156187582&lang=es&site=ehost-live"
"Getting a grip on how we talk about computational practices in science in settings of teacher learning.","Farris, Amy Voss; McLaughlin, Gözde","Journal of Computer Assisted Learning",="02664909",,="Aug2024","40","4","1922","19","178531909","10.1111/jcal.12976","Wiley-Blackwell","Article","SCIENCE; PROBLEM solving; GOAL (Psychology); LEARNING; PROFESSIONAL employee training; TEACHER development; THOUGHT & thinking","computational practices in science; computational thinking; epistemic practices; science education; sensemaking","Background: Science teachers' understanding of the roles of computing practices in science frame how they enact scientific computational practices in their teaching and how their students perceive the relationship between computational practices and scientific endeavours. Objectives: This critical, integrative review synthesizes teacher learning literature about the role of computational literacy and computing practices in K‐12 science teaching. Methods: We examined 54 peer‐reviewed articles and analysed the ways the researchers and teacher participants describe the affordances of integrating computational thinking (CT) and other computational practices in science. We characterize how CT and computational practices are framed in relation to scientific learning goals. We identify six primary affordances for integrating computational practices with science that are conveyed to teachers and by teachers, as represented in these studies of teacher learning. Results and Conclusions: These six perspectives include (1) learning computer science principles, (2) developing CT dispositions, (3) engagement and inclusion in science, (4) taking ownership of science, (5) supporting learning science content, and (6) participating in computational practice as a form of scientific epistemic practice. Our analysis indicates that computational thinking and computational practices are often integrated in science in order to teach something about computing (e.g., Perspective 1), rather than to support learners' scientific work. Only the 29 articles coded for the sixth perspective—that is, in service of epistemic aims in science—demonstrate commitment to students' uses of computational ideas and practices as epistemic tools to participate in the sensemaking work of science. Takeaways: Comparison of Perspectives 5 and 6 illustrates the nuance between computational practices in science that reify something students have already ""figured out,"" rather than those that serve epistemic goals. Perspective 6 encapsulates the deep synergy among (1) the reflexive nature of computing with scientific ideas and (2) computing as a central practice in science and engineering. We contend that a more focused message of computational practices in service of scientific sensemaking goals is necessary if we expect teachers to enact CT and related computational practices in their classrooms. Lay Description: What is already known about this topic?: Science teachers' understanding of the roles of computing practices in science frame how they enact scientific computational practices in their teaching. What this paper adds?: We analysed 54 peer‐reviewed articles regarding teacher learning about the role of computational literacy and computing practices in K‐12 science teaching.We characterized the ways the researchers and teacher participants describe the affordances of integrating computational thinking (CT) and other computational practices in science.We present six primary affordances for integrating computational practices with science that are conveyed to teachers and by teachers, as represented in these studies of teacher learning. These six perspectives include (1) learning computer science principles, (2) developing CT dispositions, (3) engagement and inclusion in science, (4) taking ownership of science, (5) supporting learning science content, and (6) computational practices in service of epistemic aims in science. Implications for practice and/or policy: We find that computational thinking and computational practices are often integrated in science in order to teach introductory computer science principles, but not to support the original science learning aims.Only the 29 of 54 articles demonstrate commitment to students' uses of computational ideas and practices as epistemic tools to participate in the sensemaking work of science.We contend that a more focused message of computational practices in service of scientific sensemaking goals is necessary if we expect teachers to enact CT and related computational practices in their classrooms. [ABSTRACT FROM AUTHOR] Copyright of Journal of Computer Assisted Learning is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=178531909&lang=es&site=ehost-live"
"First experiences of integrating computational thinking into a blended learning in‐service training program for STEM teachers.","Knie, Lisa; Standl, Bernhard; Schwarzer, Stefan","Computer Applications in Engineering Education",="10613773",,="Sep2022","30","5","1423","17","159063819","10.1002/cae.22529","Wiley-Blackwell","Article","EMPLOYEE training; BLENDED learning; TEACHERS; ONLINE education; SATISFACTION","blended learning; computational thinking; in‐service teacher training; professional development; STEM","Over the last two decades, computational thinking (CT) has gained importance in discussions about competencies that students require to deal with complex problems in a world shaped by digitalization. Therefore, schools and teachers should integrate CT into their instructional practices. Particularly, the STEM (Science, Technology, Engineering, and Mathematics) subjects are seen as a meaningful context for embedding CT. Yet, there are only a few professional development programs that address STEM teachers and how to integrate CT. Thus, in our study, we redesigned an in‐service teacher training program. The redesigned program was offered in a blended‐learning format, consisting of alternating digital and face‐to‐face phases. As part of the digital phases, an interactive online self‐learning module on CT was introduced to foster transdisciplinary competencies in the field of STEM to solve complex problems. To identify the perceptions and development of the participants of the training program and the online module on CT a within‐subject design was used with a questionnaire survey, conducted with a pre‐post‐follow‐up design. The first results of the ongoing survey indicate high satisfaction with both the program itself and the online CT module. At the beginning of the program, about two‐thirds of the participating teachers were completely unfamiliar with the term CT, nevertheless, interest in the new topic was high. It was shown the program was able to create initial awareness of the meaning and importance of CT. In addition, teachers who have engaged with CT during the intervention seem to use CT‐related practices more often in the classroom afterward. [ABSTRACT FROM AUTHOR] Copyright of Computer Applications in Engineering Education is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://crai.referencistas.com/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=egs&AN=159063819&lang=es&site=ehost-live"
