DOI,Abstract,Publisher,Author,Title,Publication Title,Volume,ISSN,Issue
10.1111/jcal.12818,"Background: Computational thinking (CT) has become a crucial skill for individuals in the 21st century, and while more educators are starting to recognize the importance of CT education, there is still a lack of research on how to teach young children CT, particularly outside of traditional school settings. Objectives: To fill the gap in knowledge, we aimed to investigate the effectiveness of a web‐based parent education program on improving children's CT skills. Additionally, we sought to determine if children's age, gender and family socioeconomic status had any impact on the development of CT skills. Methods: We selected 86 adult–child pairs in the K3 age group to participate in a 4‐week intervention program using a quasi‐experimental approach. Results: After 4 weeks, children in the intervention group had improved their CT skills more than their peers in the control group. This shows that the intervention was successful in enhancing children's CT skills. Age had a moderating effect on CT enhancement, with older children showing a more significant improvement than younger children. However, children's gender and family socioeconomic status did not have any moderating effects. Conclusions: These results demonstrate that CT education can be effectively implemented in the home setting through web‐mediated parent education. Encouraging the use of unplugged CT activities at home can aid children in acquiring CT skills. Lay Description: What is already known about this topic: Computational thinking (CT) education can be started at the early childhood stage.Both plugged‐in and unplugged activities can promote children's CT.Unplugged activities have many advantages and are suitable for young children. What this paper adds: Web‐mediated parent education is useful for equipping parents with the knowledge and skills to conduct CT activities at home.CT education has a positive effect on children in the home setting.Parents play an important leading role in children's CT education.Parent–child unplugged activities are beneficial to children's CT enhancement. Implications for practice and/or policy: A web‐mediated approach is an appropriate way to encourage parent participation in CT training.CT‐related parent education should be scaled up so that parents can play an active educational role at home.Unplugged CT activities should be designed more for the home settings in addition to school settings. [ABSTRACT FROM AUTHOR] Copyright of Journal of Computer Assisted Learning is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Wiley-Blackwell,"Li, Wanyi; Yang, Weipeng",Promoting children's computational thinking: A quasi‐experimental study of web‐mediated parent education.,Journal of Computer Assisted Learning,39,02664909,5
10.1080/10494820.2021.1946564,"In modern society technology is widely used and, with the digitization of many services, this is an upward trend. Therefore, computational thinking (CT) is an increasingly important concept; an aspect that is being reflected on educational policies and the extracurricular offer of different countries. This study aims to look at the efficacy of private after-school extracurricular robotics activities, controlling fluid intelligence (Gf), a determining aspect in solving novel problems. A sample of 112 fifth-grade Spanish students was chosen, who completed two tests, the computational thinking test (CTt) (Román-González, 2016) and the KBIT fluid intelligence subtest (Kaufman, 1990). The results showed a great influence of Gf on the prediction of CT and significant differences between the students that had not attended after-school extracurricular classes and those that had attended for two or more years. Thus, this study substantiates the effectiveness of private extracurricular classes in promoting CT in the long term. Given the importance of CT nowadays, legislators should consider to include CT in compulsory education because private extracurricular classes could promote inequity. [ABSTRACT FROM AUTHOR] Copyright of Interactive Learning Environments is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"Merino-Armero, José Miguel; González-Calero, José Antonio; Cózar-Gutiérrez, Ramón",The effect of after-school extracurricular robotic classes on elementary students' computational thinking.,Interactive Learning Environments,31,10494820,6
10.1080/10494820.2021.1943687,"As one of the core skills of the 21st century, computational thinking has received increasing attention from educators and researchers. Although some research has been conducted on computational thinking, few studies examined the impact of learning activities on students' computation thinking skills from the perspective of cognitive development. Based on the theory of scaffolding instruction, a progressive thinking training approach with flowcharts was proposed to cultivate students' computational thinking skills. A quasi-experiment was designed to evaluate the effectiveness of the training. Forty-nine Chinese tertiary students undertaking a programming course were randomly assigned into two groups – the experimental and control groups. During the course, the experimental group received progressive training, and the control group received non-progressive training. The results showed that the experimental group gained a significantly higher level of academic achievement than the control group. Meanwhile, the experimental group showed a remarkable improvement in programming self-efficacy. Furthermore, the participants in the experimental group showed a higher level of computational thinking skills, including cooperative learning, critical thinking, and problem solving skills. In summary, the progressive thinking training approach with flowcharts could not only improve the participants' computational thinking skills and programming self-efficacy, but also help them to achieve better academic outcomes. [ABSTRACT FROM AUTHOR] Copyright of Interactive Learning Environments is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"Zhang, Jia-Hua; Meng, Bin; Zou, Liu-Cong; Zhu, Yue; Hwang, Gwo-Jen",Progressive flowchart development scaffolding to improve university students' computational thinking and programming self-efficacy.,Interactive Learning Environments,31,10494820,6
10.1080/10494820.2021.1938612,"Recently there has been a change in elementary curricula to focus on computational thinking, however, a good curriculum needs to be matched with good learning or teaching strategies. This study explores design-based learning (DBL) in elementary students to examine the development of computational thinking and to support knowledge construction in designing final products. An experimental design was used with 64 students; divided into experimental and control groups. The experimental group used a DBL approach with worksheets aimed at students designing their own final product design, while the control group was taught by the traditional approach with worksheets for redoing, practicing and designing their final product. Pre and posttests were used for data collection and evaluation scheme developed to score the final product. The finding showed no significant difference in the development of computational thinking between the two groups. However, there was a significant difference in designing the final product between the two groups. Therefore, DBL supported elementary students in designing the final product although redesigning curricula by integrating both teaching methods is suggested for the greater achievement of computational thinking. [ABSTRACT FROM AUTHOR] Copyright of Interactive Learning Environments is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"Matere, Isaac M.; Weng, Cathy; Astatke, Melese; Hsia, Chih-Hsien; Fan, Chen-Guo",Effect of design-based learning on elementary students computational thinking skills in visual programming maker course.,Interactive Learning Environments,31,10494820,6
10.1080/10494820.2021.1928236,"Previous research suggests that there should be a correlation between computational thinking and traditional cognitive and motor skills. At present, academia either considers cognitive skills a part of computational thinking, or investigates the correlation between computational thinking and cognitive skills. Current research on computational thinking focuses on the design of teaching models to improve computational thinking ability and on measures for evaluating computational thinking. The association of computational thinking with motor skills is rarely discussed. From the perspective of embodied cognition theory, an association must exist, but its mechanisms have not been studied. Therefore, this study explores the effect of the teaching model of creative problem solving (CPS) on computational thinking and its internal correlation with technical skills. It was found that CPS can not only improve the computational thinking ability of students majoring in engineering, but also promote their corresponding motor skills. However, the students' previous academic background had a certain influence on their learning outcomes. Students at universities of technology experienced a greater improvement in their computational thinking and motor skills than students at general universities. There is a certain correlation between computational thinking and motor skills, and the interaction between them should be properly considered in future teaching and curriculum design so as to improve students' learning effectiveness. [ABSTRACT FROM AUTHOR] Copyright of Interactive Learning Environments is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Taylor & Francis Ltd,"Jou, Min; Chen, Pei-Chi; Wang, Jingying",The developmental characteristics of computational thinking and its relationship with technical skills: taking the department of engineering as an example.,Interactive Learning Environments,31,10494820,6
10.1016/j.ecresq.2023.05.013,"• This paper presents a framework for designing formative assessments of computational thinking in early childhood that starts by observing the errors that children make when engaging in coding tasks. • The errors children make while learning how to code serve as indicators of knowledge refinement opportunities and provide information about how their computational thinking knowledge is still developing. • Our identification of indicators of knowledge refinement opportunities provide insight into very early understandings of what potential patterns and levels of thinking may look like in early childhood computational thinking. With growing interest in supporting the development of computational thinking (CT) in early childhood, there is also need for new assessments that serve multiple purposes and uses. In particular, there is a need to understand the design of formative assessments that can be used during classroom instruction to provide feedback to teachers and children in real-time. In this paper, we report on an empirical study and advance a new unit of observational analysis for formative assessment that we call an indicator of a knowledge refinement opportunity or as a shorthand , KRO indicators. We put forth a new framework for conceptualizing the design of formative assessments that builds on the Evidence Centered Design framework but centers identification and analysis of indicators of knowledge refinement opportunities. We illustrate a number of key indicators through empirical examples drawn from video recordings of Kindergarten classroom lessons. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Research Quarterly is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Clarke-Midura, Jody; Lee, Victor R.; Shumway, Jessica F.; Silvis, Deborah; Kozlowski, Joseph S.; Peterson, Rebecca",Designing formative assessments of early childhood computational thinking.,Early Childhood Research Quarterly,65,08852006,
10.1016/j.ecresq.2023.05.015,"• The physical-digital convergence of a programmable robot integrated into play has effects that enhance both spatial reasoning and computational thinking. • The teacher remained a key actor, providing verbal and nonverbal scaffolding to promote children's understanding and mastery of spatial and computational concepts. • Talking about spatial concepts combined with the interaction with a robot enhanced children's acquisition of spatial ideas. • The quantity of children's verbal expressions reflected the complexity of their applied spatial skills and computational thinking. Early evidence suggests that robot programming offers an important foundation for spatial reasoning and computational thinking; however, researchers have debated how to introduce young children to these skills. We explored how preschoolers develop understanding of spatial concepts and computational thinking as the children took turns navigating a path during guided play with a programmable robot. Our analysis of the data included a multimodal visualization of the exchanges between the teacher, children, and a programmable robotic device. The findings highlight the effects that arose from the physical-digital convergence of technology integrated into play including: (a) the robot evoked a chain of actions, enacting pedagogic forces that transformed children's learning; (b) children used their own bodies as spatial referents, co-locating themselves in space with the robot; (c) the teacher remained a key actor, providing verbal and nonverbal scaffolding to promote children's understanding and mastery of spatial and computational concepts; and (d) talking with the teacher about spatial concepts combined with the interactions with the robot enhanced children's acquisition of spatial ideas relative to the quantity of children's verbal expressions and complexity of their applied spatial skills and computational thinking. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Research Quarterly is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Berson, Ilene R.; Berson, Michael J.; McKinnon, Candice; Aradhya, Deeksha; Alyaeesh, May; Luo, Wenwei; Shapiro, Ben Rydal",An exploration of robot programming as a foundation for spatial reasoning and computational thinking in preschoolers' guided play.,Early Childhood Research Quarterly,65,08852006,
10.1016/j.ecresq.2023.05.011,"• Teacher talk and technology use affect children's computational thinking processes • Teacher talk affects children's problem understanding and action sequences • Teachers' open questions aid children's logical organization of ideas and actions • Learn types of teacher talk to elicit children's computational thinking processes Although studies have shown that computational thinking (CT) can enhance learning processes and outcomes across traditional subjects, they have not shown how teachers might scaffold children's CT processes in a technology-mediated learning context. This exploratory study examined how teacher talk and technologies impacted the CT of three children (6 to 8 years old). Seven videotaped 90-minute sessions of weekly project-based activities yielded 4,842 turns of talk (2,974 by children). Statistical discourse analysis revealed the following results. After a teacher command, the children more often executed a sequence of actions toward a solution but less often demonstrated problem understanding than otherwise. Following a teacher's open question, the children were more likely to offer logically organized ideas. In response to a teacher's rhetorical question, they more often searched for information. These results inform educators regarding when to use each type of teacher talk to scaffold children's CT processes. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Research Quarterly is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Hu, Xinyun; Chiu, Ming Ming; Yelland, Nicola; Liang, Yutong",Scaffolding young children's computational thinking with teacher talk in a technology-mediated classroom.,Early Childhood Research Quarterly,65,08852006,
10.1016/j.ecresq.2023.05.012,"• Data collection and analysis (DCA) for preschoolers is developmentally appropriate. • DCA integrates math and computational thinking to answer real-world questions with a problem solving approach. • An app can scaffold DCA for preschoolers and their teachers. • Children who completed the intervention had significantly higher post-test scores. • Teachers' comfort and confidence to teacher DCA increased during the intervention. Collecting and organizing data to understand and answer real-world questions is an increasingly important skill in our current world. Fostering data collection and analysis (DCA) skills in young children leverages key mathematics skills as well as the data representation, visualization, and interpretation skills of computational thinking (CT), culminating in a problem-solving approach with data. As such, the intervention, comprising investigations and a digital app, supported preschool teachers and children to answer data-focused questions by engaging in each step of the DCA process in order to foster CT and math skills. Teachers appreciated that the app offers a new way for children to visualize data and noted that the app provided learning opportunities for children that would not otherwise be possible or easy to implement. Results also suggest that the app provides a systematic process for data collection, entry, and interpretation. Children in classrooms that completed the intervention had significantly higher scores at post-intervention compared to children in classrooms that did not complete the intervention, controlling for pre-intervention scores, B(SE) = 0.13(0.05), t (6) = 2.48, p =.048. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Research Quarterly is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Lewis Presser, Ashley E.; Young, Jessica Mercer; Rosenfeld, Deborah; Clements, Lindsay J.; Kook, Janna F.; Sherwood, Heather; Cerrone, Michelle",Data collection and analysis for preschoolers: An engaging context for integrating mathematics and computational thinking with digital tools.,Early Childhood Research Quarterly,65,08852006,
10.1016/j.ecresq.2023.05.010,"• Computational thinking integration into a moral reasoning context. • Epistemic overlap between computational thinking, moral reasoning, and modeling. • Empathy as a resource for computational thinking. • Considerations for integration in socio-emotional learning settings in K12. In this work, we argue for expanding the scope of K-12 computational thinking (CT) integration contexts to include everyday scenarios involving moral reasoning. Epistemic overlap between computational thinking practices and moral reasoning suggest that these contexts are potentially rich sites to see ""seeds of CT"" in children's reasoning and can provide rich educational pathways for children into CT. Taking a case-study approach, we examine the reasoning of a second-grader, Ollie, on a task involving fair allocation of resources to victims of a natural disaster. Our analysis finds that Ollie's reasoning was rich with seeds of CT (e.g., problem formulation, abstraction, complex-systems thinking) and that empathy served as an important supporting role to the CT. This work has implications for curricular design, suggesting that fairness and resource allocation scenarios with built-in opportunities for empathy might provide rich sandboxes for CT integration. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Research Quarterly is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Sohr, Erin Ronayne; Gupta, Ayush; Elby, Andrew; Radoff, Jennifer",How a child entangles empathy and computational thinking in reasoning about fairness.,Early Childhood Research Quarterly,65,08852006,
10.1016/j.ecresq.2023.05.009,"• Parents illustrated changes in how they defined computational thinking before and after the intervention. • During interviews, parents reported that the intervention supported new CT skills, attitudes, and behaviors in their children. • Children in the intervention group showed differences in how they approached the CT learning tasks, particularly in Sequencing and Algorithmic Thinking. This paper describes a study designed to investigate the promise of resources that support the development of computational thinking (CT) in preschool children. This study was the culmination of a collaborative research process between researchers and media developers of a home-based intervention that included media and hands-on activities created to support the development of young children's CT. The mixed-methods study included 108 families, each with a 4- or 5-year-old child. Families, who participated in the study at home for six weeks, were randomly assigned to an intervention group that viewed media and engaged with hands-on activities with a CT focus or a control group that viewed and engaged with non-STEM literacy content. Data collection consisted of parent surveys, parent interviews, and CT learning and pre-coding tasks to assess children's CT abilities. Results indicate that the learning intervention demonstrates promise in supporting parental understanding of CT. Experience with the intervention over the six weeks also appeared to cultivate some CT strategy use in children as evidenced by parental reports and performance on learning and pre-coding sequencing tasks. [ABSTRACT FROM AUTHOR] Copyright of Early Childhood Research Quarterly is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Elsevier B.V.,"Lavigne, Heather J.; Presser, Ashley Lewis; Rosenfeld, Deborah; Cuellar, Leslie; Vidiksis, Regan; Ferguson, Camille; Wolsky, Marisa; Andrews, Jessica",Computational thinking with families: Studying an at-home media intervention to promote joint media engagement between preschoolers and their parents.,Early Childhood Research Quarterly,65,08852006,
10.37467/revvisual.v9.3784,"The purposes of studies on computational logical thinking foresee that it is possible, through experiment work, to do research on previous skills of logic and mathematics in engineering students, by using packages of software and applications and supporting these students in parallel. It was possible that teachers achieved impact by using co-creation, and, since their work was collaborative, this showed leadership, motivation, and guidance. By using computer programming and analytical tools integrated into the capacities of students, this not only allowed collaboration, but also development and progress for building their own knowledge, in a process according to the pedagogical theory of constructionism. (English) [ABSTRACT FROM AUTHOR] Los propósitos de los estudios sobre pensamiento lógico computacional prevén que es posible investigar con esfuerzos experimentales, las habilidades previas de lógica y matemática para estudiantes de ingeniería con paquetes de software y aplicaciones, en forma paralela dar soporte a los estudios universitarios de nivel superior, se logró que docentes impacten con co-creación, siendo colaborativo su trabajo de liderazgo, así como motivador y director, con usos de programática computacional, las herramientas analíticas integradas en capacidades de estudiantes, no solo permitió colaboración, también desarrollos y progreso para construir su propio conocimiento, en un proceso descrito por la teoría pedagógica del construccionismo. (Spanish) [ABSTRACT FROM AUTHOR] Copyright of Visual Review is the property of Eagora Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Eagora Science,"MORE VALENCIA, RUBÉN ALEXANDER; TUME RUIZ, JUAN MANUEL; RANGEL VEGA, ANTIA",PENSAMIENTO LÓGICO Y PROGRAMÁTICA COMPUTACIONAL EN ESTUDIANTES DE INGENIERÍA.,Visual Review,12,26959631,5
10.15896/j.xjtuskxb.202202014,"The theory of computational thinking derived from computer science has a wide influence on various disciplines and social practice. Computational thinking is the integration of various thinking methods, such as mathematical thinking and engineering thinking, and its core features are “abstract” and “automatic and effective execution”. In the field of law, the function of computational thinking is reflected in properly abstract legal problems, and the solution can be automatically implemented by law enforcement subjects including person, machine or man-machine combination through appropriate procedures, that is, to improve the scientific nature of legislation and ensure the effective implementation of law. In the process of legislation, how to choose the abstract level is the key to affect the scientific nature of legislation, and a reasonable procedural mechanism can make the law automatically and effectively implemented. In the practice of law enforcement, finding the equivalence relationship through the appropriate abstractions can transform the complex and difficult problems into relatively easy problems to solve. Computational thinking can be called the neglected “pearl” on the crown of computational law. Its function and role in the legal field have not been fully recognized and explored by the legal circle, and its value needs to be further explored. (English) [ABSTRACT FROM AUTHOR] 源于计算机科学的计算思维理论正对各学科和社会实践产生广泛影响。计算思维是数学 思维和工程思维等多种思维方法的融合，其核心特征是“抽象”和“自动有效执行”。在法律领 域，计算思维的功能体现为对待解法律问题进行恰当抽象，并使解决方案能够由执法主体（人、 机器或者人机组合）通过恰当的程序自动得以执行，即提高立法的科学性，保障法律的有效执 行。在立法过程中，抽象的层次如何选择是影响立法科学性的关键，合理的程序机制可使法律 “自动有效执行”。在执法实践中，通过恰当抽象寻找等价关系，可以把复杂、难解的问题转化 为相对容易解决的问题。计算思维堪称计算法学皇冠上被忽视的“明珠”，在法律领域的功能与 作用尚未被法学界充分认识和挖掘，其价值有待进一步探索。 (Chinese) [ABSTRACT FROM AUTHOR] Copyright of Journal of Xi'an Jiaotong University (Social Sciences) is the property of Journal of Xi'an Jiaotong University (Social Sciences) Editorial Office and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Journal of Xi'an Jiaotong University (Social Sciences) Editorial Office,刘东亮,计算思维在法律领域的功能与作用.,Journal of Xi'an Jiaotong University (Social Sciences),42,1008245X,2
10.5565/rev/educar.1645,"Education 4.0 and its applications such as web-based virtual reality (WebVR) can be useful to strengthen student learning, as the use of this technology in teaching allows participation in simulated reality scenarios that strengthen interaction and the development of communication and collaboration skills. In this study, both acceptance and the academic performance of 258 students who participated in a learning experience around components of computational thinking were evaluated through the implementation of a knowledge rally that was designed in a three-dimensional virtual world. The study considered an experimental group and a control group. The results indicate that there is a high level of acceptance to adopt virtual scenarios as a space for learning, and that the academic performance of the students showed an improvement when it was generated in the application of simulated reality. However, there are opportunities that need to be resolved to successfully implement these experiences, such as access to computers with high processing capacity and the development of digital skills for both teachers and students. (English) [ABSTRACT FROM AUTHOR] La Educación 4.0 y sus aplicaciones como la realidad virtual basada en web (WebVR) pueden ser útiles para fortalecer el aprendizaje de los estudiantes, debido a que el uso de esta tecnología en la enseñanza permite la participación en escenarios de realidad simulada que fortalecen la interacción y el desarrollo de competencias comunicativas y de colaboración. En esta investigación se evaluó tanto la aceptación como el rendimiento académico de 258 alumnos que participaron en una experiencia de aprendizaje de los componentes del pensamiento computacional mediante la implementación de un rally de conocimientos que fue diseñado en un mundo virtual tridimensional. El estudio consideró un grupo experimental y uno de control. Los resultados indican que existe un nivel de aceptación alto para adoptar los escenarios virtuales como espacio para el aprendizaje y que el rendimiento académico de los estudiantes mostró una mejoría cuando se generó en la aplicación de realidad simulada. Sin embargo, existen oportunidades que requieren ser atendidas para implementar con éxito estas experiencias, como el acceso a computadoras con alta capacidad de procesamiento y el desarrollo de habilidades digitales tanto de docentes como de estudiantes. (Spanish) [ABSTRACT FROM AUTHOR] L'Educació 4.0 i les seves aplicacions, com la realitat virtual basada en web (WebVR), poden ser útils per enfortir l'aprenentatge dels estudiants pel fet que l'ús d'aquesta tecnologia en l'ensenyament permet la participació en escenaris de realitat simulada que enforteixen la interacció i el desenvolupament de competències comunicatives i de col·laboració. En aquesta recerca es va avaluar tant l'acceptació com el rendiment acadèmic de 258 alumnes que van participar en una experiència d'aprenentatge dels components del pensament computacional mitjançant la implementació d'un ral·li de coneixements que va ser dissenyat en un món virtual tridimensional. L'estudi va considerar un grup experimental i un de control. Els resultats indiquen que existeix un nivell d'acceptació alt per adoptar els escenaris virtuals com a espai per a l'aprenentatge i que el rendiment acadèmic dels estudiants va mostrar una millora quan es va generar en l'aplicació de realitat simulada. No obstant això, existeixen oportunitats que requereixen ser ateses per implementar amb èxit aquestes experiències, com l'accés a computadores amb alta capacitat de processament i el desenvolupament d'habilitats digitals tant de docents com d'estudiants. (Catalan) [ABSTRACT FROM AUTHOR] Copyright of Educar is the property of Universitat Autonoma de Barcelona, Servei de Publicacions and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","Universitat Autonoma de Barcelona, Servei de Publicacions","George-Reyes, Carlos Enrique; Ruiz-Ramírez, Jessica Alejandra; Contreras Fuentes, Yessica Betzabe; López-Caudana, Edgar Omar",Aprendizaje de los componentes del pensamiento computacional mediado por una aplicación virtual de la Educación 4.0 en el entorno del pensamiento complejo.,Educar,59,0211819X,2
10.1007/s11423-021-10031-6,"This paper presents a game-design workshop built around a digital art installation featuring video games displayed over a real-world skyscraper to stimulate students' interest in computer science and a study testing its short-term effects on improving middle school students' computational thinking (CT) skills and attitudes towards computing. Following a STEAM approach, the workshop aimed to engage participants in age-appropriate activities that focus on CT skills through the lens of creating their own game. A web-based game design interface that allows students to code and play games as simulated on a skyscraper was developed to support the workshop's core activities. The web environment also featured step-by-step tutorials and fully functional games to promote the accessibility of the learning materials for a diverse body of students and educators around the globe. The results of the study indicated that the workshop helped students improve their CT skills and differentially influence their attitudes towards computing. In particular, the workshop experience led students from underserved community districts to lower their attitude ratings, whereas the reverse pattern was observed for students from more affluent districts. The workshop reportedly informed students' perception of computing as a profession and their appreciation of the analytical effort required for developing functional games. Qualitative analysis of artifact-based interviews indicated that students could begin to make abstractions and devise algorithms by associating variables through conditional statements while solving problems related to game development. Interview analysis also revealed that students took pride in the effort that they made during the workshop. [ABSTRACT FROM AUTHOR] Copyright of Educational Technology Research & Development is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Springer Nature,"Çakır, Nur Akkuş; Çakır, Murat Perit; Lee, Frank J.",We game on skyscrapers: the effects of an equity-informed game design workshop on students' computational thinking skills and perceptions of computer science.,Educational Technology Research & Development,69,10421629,5
10.1007/s11528-022-00766-1,"As computers have become commonplace in everyday life, educators have begun to shift focus from working with computers (computer literacy) to thinking with computers (computational thinking). This article describes the progression of computational thinking (CT) from a historical perspective. This paper will first review the early stages of CT in the mid-1900s, along with its evolution over the succeeding decades. Finally, the article concludes with a discussion of proposed educational benefits, along with implications for future learning. [ABSTRACT FROM AUTHOR] Copyright of TechTrends: Linking Research & Practice to Improve Learning is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Springer Nature,"Payne, Linda; Tawfik, Andrew; Olney, Andrew M.",Computational Thinking in Education: Past and Present.,TechTrends: Linking Research & Practice to Improve Learning,66,87563894,5
10.1111/jcal.12850,"Background: Today, computational thinking (CT), which is considered to be a form of literacy, has taken its place in the ICT curriculum of many countries at the K‐12 level. Therefore, there is a need for more evidence with regards to a theoretical and practical understanding of CT skills' development of K‐12 students. Objectives: The purpose of the study was to investigate the effect of an unplugged coding course on primary school students' development of CT skills, differences in their CT skills in terms of socio‐demographics such as gender, computer ownership, daily computer use, and home Internet access, and the relationship between their CT and 21st century skills. Methods: The research was based a quasi‐experimental design with one‐group pretest‐posttest with follow‐up. The CT skills of 212 third and fourth grade students at a public primary school of Turkey were measured with a CT Skills Test before, after, and about ten weeks following having attended an unplugged coding course. Results and Conclusions: The results of the study showed that the unplugged coding course statistically significantly improved the participants' CT skills, specifically in algorithmic design, abstraction, evaluation, decomposition, and generalization. Moreover, the findings indicated that primary school students' CT skills were not associated with their socio‐demographics. In addition, the students' CT skills were found to be positively and statistically significantly correlated with their collaboration and communication skills. Implications: This study contributes to understanding of the effects of unplugged activities on the development of primary school students' CT skills, which is beneficial to teaching practices for CT skills in the primary education. [ABSTRACT FROM AUTHOR] Copyright of Journal of Computer Assisted Learning is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Wiley-Blackwell,"Dağ, Funda; Şumuer, Evren; Durdu, Levent",The effect of an unplugged coding course on primary school students' improvement in their computational thinking skills.,Journal of Computer Assisted Learning,39,02664909,6
