ISSN,Volume,DOI,Issue,Publisher,Abstract,Publication Title,Title,Author
26734591,55,10.3390/engproc2023055031,,MDPI,"Due to the COVID-19 pandemic, courses for all ages in many countries moved online. The ability to use information technology fluently for learning has become a vital issue. Whether students can develop computational thinking (CT) literacy in online or offline learning environments is investigated. Two web games, Rummikub and Robozzle, are applied to teach computational thinking through Google Meet, Google Classroom, and offline live teaching. The results indicate that offline training activities are more appropriate for middle school students. [ABSTRACT FROM AUTHOR] Copyright of Engineering Proceedings is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Engineering Proceedings,A Comparison of Online and Offline Digital Gameplay Activities in Promoting Computational Thinking in K-12 Education †.,"Chen, Li-Xian; Su, Shih-Wen; Chen, Yen-Yun; Liao, Chia-Hung; Yuan, Shyan-Ming"
20763417,14,10.3390/app14030991,3,MDPI,"Background: The purpose of this study is to find the effects of the international training program for enhancing intelligent capabilities through blended learning on computational thinking, artificial intelligence (AI) competency, and core competencies for the future society in graduated students enrolled in the Smart Information Communication Technology (SMART ICT) course. The teaching model followed the ADDIE framework. Methods: This study is a quasi-experimental study based on nonequivalent control group design. Study subjects were assigned to an experimental (n = 20) or control group (n = 20). The experimental group participated in the international training program in the blended learning form, real-time online classes (60 min per session for a week, six sessions) and face-to-face classes (4–8 h per session for 9 days, six sessions). The variables were measured with a self-report questionnaire and were evaluated before, right after, and in the 12th week of the program. Results: The AI competency of the experimental group was observed to be significantly changed at the points of time (F = 6.76, p = 0.002), and in comparison with that of a different group (F = 9.77, p = 0.003). Conclusions: This study suggests applying an international training program based on blended learning to strengthen intelligence capabilities such as artificial intelligence capabilities. [ABSTRACT FROM AUTHOR] Copyright of Applied Sciences (2076-3417) is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Applied Sciences (2076-3417),"Effects of the International Training Program for Enhancing Intelligent Capabilities through Blended Learning on Computational Thinking, Artificial Intelligence Competencies, and Core Competencies for the Future Society in Graduate Students.","Ahn, Yeong-Hwi; Oh, Eun-Young"
26734591,55,10.3390/engproc2023055062,,MDPI,"Computational thinking (CT) has become one of the critical goals of teaching CS programming courses. Computational skills consist of skills taken in a computational form in learning programming and dealing with daily life. More research adopted games to teach CT skills. This paper investigated two games, Little Alchemy 2 and Dr. Sudoku, to promote CS students' CT skills and applied international Bebras tests to measure their CT skills. The results showed that CT skills in problem decomposition and pattern recognition could be improved via digital games. Thus, this study contributes to computing education using available digital games to promote CS college students' CT abilities. [ABSTRACT FROM AUTHOR] Copyright of Engineering Proceedings is the property of MDPI and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Engineering Proceedings,Digital Game Approaches for Cultivating Computational Thinking Skills in College Students †.,"Chen, Li-Xian; Su, Shih-Wen; Liao, Chia-Hung; Hsiao, Mei-Jin; Yuan, Shyan-Ming"
25781863,2024,10.1155/2024/5044787,,Hindawi Limited,"Digital computers were invented in the 1940s. They are sophisticated and versatile machines whose functioning is grounded in elaborate theory. Advances in theory and the availability of computers helped computer science to develop as an academic discipline, and university departments for the same started coming up in the 1960s. Computer science covers all phenomenon related to computers and consists primarily of man-made laws governing building, programming, and using computers. Computational thinking is a way of thinking influenced by computers and computer science. There are two schools of thought on computational thinking. The first school sees computational thinking as the use of computers to explore the world, while the other sees computational thinking as the application of concepts from computer science to solve real-world problems. Scholars typically agree that computational thinking has four essential components, viz., abstraction, decomposition, algorithm design, and generalization. Computational thinking is often feted by computer scientists as a useful skill that can be used by anybody anywhere. However, it is necessary to find out ways for successfully using computational thinking in domains other than computer science before it can be declared a universal skill. [ABSTRACT FROM AUTHOR] Copyright of Human Behavior & Emerging Technologies is the property of Hindawi Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Human Behavior & Emerging Technologies,"Computer, Computer Science, and Computational Thinking: Relationship between the Three Concepts.","Chakraborty, Pinaki"
21931127,13,10.1140/epjds/s13688-023-00443-0,1,Springer Nature,"Deductive and theory-driven research starts by asking questions. Finding tentative answers to these questions in the literature is next. It is followed by gathering, preparing and modelling relevant data to empirically test these tentative answers. Inductive research, on the other hand, starts with data representation and finding general patterns in data. Ahn suggested, in his keynote speech at the seventh International Conference on Computational Social Science (IC2S2) 2021, that the way this data is represented could shape our understanding and the type of answers we find for the questions. He discussed that specific representation learning approaches enable a meaningful embedding space and could allow spatial thinking and broaden computational imagination. In this commentary, I summarize Ahn's keynote and related publications, provide an overview of the use of spatial metaphor in sociology, discuss how such representation learning can help both inductive and deductive research, propose future avenues of research that could benefit from spatial thinking, and pose some still open questions. [ABSTRACT FROM AUTHOR] Copyright of EPJ Data Science is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",EPJ Data Science,"Thinking spatially in computational social science: Commentary on Yong-Yeol Ahn (2021): ""Representation learning for computational imagination"".","Akbaritabar, Aliakbar"
20885334,13,10.18517/ijaseit.13.5.19044,5,INSIGHT - Indonesian Society for Knowledge & Human Development,"Recent advances in artificial intelligence and Software have resulted in a paradigm shift in education, necessitating greater changes in educational methods and environments. Many countries worldwide have highlighted computational thinking as the core competence related to software education, leading to an increase in the number of studies focusing on computational thinking in Korea as well. Future demands must be analyzed, and curricula must be improved through in-depth education in computational thinking. Therefore, computational thinking curricula currently offered by universities for students majoring and not majoring in related fields must be reformed for precise educational goals. While research on computational thinking for non-major students has been consistently conducted, curricula for major students are inadequate, and there is a lack of learning opportunities because of the expectation that education on computational thinking for computer science major students will be naturally achieved. Thus, for the purpose of improving the computational thinking education for computer science major students, this study conducted a survey consisting of six questions on ""perception of computational thinking"" and 11 questions on ""need of computational thinking"" among 313 students majoring in computer science at a university in Korea. In the study results, 177 students (56.5%) answered ""I do not know"" for the question ""I know what computational thinking is well enough,"" indicating that computational thinking education must be expanded and considered not only for non-computer science majors but also for computer science major students. [ABSTRACT FROM AUTHOR] Copyright of International Journal on Advanced Science, Engineering & Information Technology is the property of INSIGHT - Indonesian Society for Knowledge & Human Development and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","International Journal on Advanced Science, Engineering & Information Technology",A Study on Computational Thinking for Major of Computer Science.,Hyo-joo Woo; Yeong-wook Yang; Jaechoon Jo
07356331,62,10.1177/07356331241236882,5,Sage Publications Inc.,"This research aimed to investigate the structural relationships among teachers' computational thinking (CT), design thinking (DT), robotics teaching beliefs, and robotics pedagogical content knowledge (RPCK). A total of 98 in-service and pre-service teachers who participated in a robotics teaching professional development workshop served as the sample of the study. A survey including the Computational Thinking Scale, the Design Thinking Disposition Scale, the Robotics Teaching Beliefs Scale and the Technological Pedagogical Content Knowledge–Robotics Scale was conducted after the workshop. A confirmatory factor analysis was employed to validate the measurement constructs, and Partial Least Squares - Structural Equation Modeling (PLS-SEM) analysis was utilized to examine the relationships among the factors. The results revealed that both CT and DT dispositions could positively predict teachers' robotics teaching beliefs, which subsequently predicted their RPCK. Moreover, a direct positive relationship between CT and RPCK was identified, while such a relationship was not evident for DT. The model demonstrates the critical role of CT in shaping teachers' beliefs and pedagogical strategies of robotics teaching, and provides insights into the indirect influence of DT. Finally, the Model of Robotics Teaching Professional Development (MRTPD) was proposed to profile how to promote teachers' pedagogical content knowledge of robotics teaching from their CT and DT dispositions. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Journal of Educational Computing Research,Predicting Robotics Pedagogical Content Knowledge: The Role of Computational and Design Thinking Dispositions via Teaching Beliefs.,"Hsu, Chung-Yuan; Tsai, Meng-Jung"
02664909,40,10.1111/jcal.12996,4,Wiley-Blackwell,"Background: Artificial intelligence–generated content (AIGC) has stepped into the spotlight with the emergence of ChatGPT, making effective use of AIGC for education a hot topic. Objectives: This study seeks to explore the effectiveness of integrating AIGC into programming learning through debugging. First, the study presents three levels of AIGC integration based on varying levels of abstraction. Then, drawing on extended effective use theory, the study proposes the underlying mechanism of how AIGC integration impacts programming learning performance and computational thinking. Methods: Three debugging interfaces integrated with AIGC by ChatGPT were developed for this study according to three levels of AIGC integration design. The study conducts a between‐subject experiment with one control group and three experimental groups. Analysis of covariance and a structural equation model are employed to examine the effects. Results and Conclusions: The results show that the second and third levels of abstraction in AIGC integration yield better learning performance and computational thinking, but the first level shows no difference compared to traditional debugging. The underlying mechanism suggests that the second and third levels of abstraction promote transparent interaction, which enhances representational fidelity and consequently impacts learning performance and computational thinking, as evidenced in test of the mechanism. Moreover, the study finds that learning fidelity weakens the effect of transparent interaction on representational fidelity. Our research offers valuable theoretical and practical insights. Lay Description: What is currently known about the subject matter?: In the present information era, programming and computational thinking are important.AIGC has attracted remarkable attention from both academics and managers.If it is appropriately utilised, AIGC can facilitate education. What this paper adds: Three forms of AIGC integration based on the level of abstraction, which enhance programming learning and computational thinking.Application of extended effective use theory to propose an underlying mechanism for how AIGC integration affects learning performance and computational thinking.Concrete information on the utilisation of AIGC in the education domain.Evidence that shows the importance of interaction transparency and representational fidelity for leveraging information technologies in education. Implications of the study findings for practitioners: AIGC can be an effective tool for teachers, learners, and institutions.Platform designers and teachers should carefully design AICG integration.Platform designers and teachers could make use of various methods and other forms of AIGC integration to promote interaction transparency. [ABSTRACT FROM AUTHOR] Copyright of Journal of Computer Assisted Learning is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Journal of Computer Assisted Learning,Empowering learners with AI‐generated content for programming learning and computational thinking: The lens of extended effective use theory.,"Shanshan, Shang; Sen, Geng"
07356331,62,10.1177/07356331241242435,5,Sage Publications Inc.,"Addressing cognitive disparities has become a paramount concern in computational thinking (CT) education. The intricate and nuanced relationships between CT and cognitive variations emphasize the needs to accommodate diverse cognitive profiles when fostering CT skills, recognizing that these cognitive functions can manifest as either strengths or limitations in different students. Consequently, understanding the connections between students' cognitive functions and CT skills assumes pivotal importance in the design of personalized instructional strategies for CT. Despite a general consideration of learning variability in CT education, empirical insights exploring the correlation between cognitive skills and CT competencies remain notably scarce. This study endeavors to bridge this research gap by investigating the links between executive functions and CT skills, as well as the associations between their sub-dimensions. The results reveal a statistically significant correlation coefficient of 0.452 between these two domains, underscoring the notable connection between executive functions and CT abilities. Furthermore, the sub-dimensional analysis offers a comprehensive understanding of how specific executive functions uniquely contribute to certain CT skills. In light of these findings, this research offers a promising pathway for the development of tailored CT education programs that can cater to the unique needs of each individual, ultimately facilitating inclusive CT programs and making significant contributions to broaden STEM education and future workforce. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Journal of Educational Computing Research,Relationships Between Executive Functions and Computational Thinking.,"Liu, Tongxi"
07356331,62,10.1177/07356331241240670,5,Sage Publications Inc.,"This study employs meta-analysis to synthesize findings from 30 articles investigating gender differences in computational thinking (CT) among K-12 students. Encompassing 51 independent effect sizes, the meta-analysis involves a participant pool of 9181 individuals from various countries, comprising 4254 males and 4927 females. Results indicate statistically significant gender differences in CT (Hedges's g = 0.091, p <.05), albeit with a modest effect size, revealing higher CT scores among males compared to females. Further moderation analyses unveil the multifaceted nature of these gender differences. Specifically, while gender differences become significant during high school, recent studies suggest a gradual reduction in CT gender differences with societal progress among K-12 students. Moreover, findings illustrate variations in gender differences across geographical regions. Notably, while the overall gender disparity in CT is non-significant in the ""East Asia and Pacific"" region, it widens in ""North America"" and ""Europe"", with males scoring higher than females. Conversely, in ""Europe and Central Asia"", such gender differences present inconsistent outcomes, with females scoring higher than males. Importantly, assessment tool type does not significantly influence gender differences. Lastly, this study offers recommendations to address CT gender gaps, providing valuable insights for promoting gender equality in education. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Journal of Educational Computing Research,Exploring Gender Differences in Computational Thinking Among K-12 Students: A Meta-Analysis Investigating Influential Factors.,"Hu, Linlin"
07356331,62,10.1177/07356331241236744,5,Sage Publications Inc.,"The interest in Computational Thinking (CT) development among young learners increases with the number of studies located in literature. In this study, a meta-analysis was conducted to address two main objectives: (a) the effectiveness of empirical interventions on the development of CT in children aged of 3–8 years; and (b) the variables that influence the effectiveness of the interventions. Following PRISMA procedures, we identified 17 empirical studies with 34 effect sizes and 1665 participants meeting the inclusion criteria from Web of Science database. Overall, we found a statistically significant large effect size (d =.83 [95% CI: 730,.890]; p <.001) on the CT development of 3–8 years old children, which provides empirical support for having young children to engage in CT experiences. The effect size was significantly influenced by moderating variables including gender, scaffolding, and education level. Intervention length showed a marginally significant effect. Therefore, educators could refer to the significant moderators when designing tailored interventions for CT development in early childhood education while a call for more empirical studies of CT development in young children is proposed. [ABSTRACT FROM AUTHOR] Copyright of Journal of Educational Computing Research is the property of Sage Publications Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",Journal of Educational Computing Research,Do 3–8 Years Old Children Benefit From Computational Thinking Development? A Meta-Analysis.,"Wang, Xiaowen; Chan, Kan Kan; Li, Qianru; Leung, Shing On"
